CPF_CONDUTOR,NOME_CONDUTOR,TELEFONE,ENDERECO,EMAIL,DATA_NASCIMENTO
80101066660,João da Silva,(11) 1234-5678,Rua das Flores,joao.silva@example.com,1985-02-10
53762012016,Maria Santos,(11) 9876-5432,Avenida Principal,maria.santos@example.com,1990-06-15
37171218554,Carlos Oliveira,(11) 5555-5555,Rua dos Pinheiros,carlos.oliveira@example.com,1978-03-20
64241285813,Ana Pereira,(11) 2222-2222,Rua das Palmeiras,ana.pereira@example.com,1982-12-03
43486164260,Fernando Mendes,(11) 3333-3333,Avenida Central,fernando.mendes@example.com,1995-05-25
84337138331,Luciana Castro,(11) 4444-4444,Rua das Oliveiras,luciana.castro@example.com,1988-08-18
77777777777,Ricardo Santos,(11) 6666-6666,Avenida dos Sonhos,ricardo.santos@example.com,1977-11-02
29645884306,Patrícia Lima,(11) 7777-7777,Rua das Acácias,patricia.lima@example.com,1992-04-20
53717124374,Lucas Oliveira,(11) 8888-8888,Avenida das Rosas,lucas.oliveira@example.com,1984-11-01
27128829113,Isabela Fernandes,(11) 9999-9999,Rua dos Lírios,isabela.fernandes@example.com,1998-03-27
